Statistic,Year,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2003,Homicide offences,Number,99
Recorded Crime Offences Under Reservation,2003,Murder,Number,36
Recorded Crime Offences Under Reservation,2003,Manslaughter,Number,15
Recorded Crime Offences Under Reservation,2003,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003,Dangerous driving leading to death,Number,48
Recorded Crime Offences Under Reservation,2003,Sexual offences,Number,1571
Recorded Crime Offences Under Reservation,2003,Rape of a male or female,Number,324
Recorded Crime Offences Under Reservation,2003,Defilement of a boy or girl less than 17 years old,Number,112
Recorded Crime Offences Under Reservation,2003,Sexual offence involving mentally impaired person,Number,23
Recorded Crime Offences Under Reservation,2003,Aggravated sexual assault,Number,11
Recorded Crime Offences Under Reservation,2003,Sexual assault (not aggravated),Number,1000
Recorded Crime Offences Under Reservation,2003,Other sexual offences,Number,101
Recorded Crime Offences Under Reservation,2003,"Attempts/threats to murder, assaults, harassments and related offences",Number,13536
Recorded Crime Offences Under Reservation,2003,Murder-attempt,Number,5
Recorded Crime Offences Under Reservation,2003,Murder-threat,Number,42
Recorded Crime Offences Under Reservation,2003,Harassment and related offences,Number,1065
Recorded Crime Offences Under Reservation,2003,"Assault causing harm, poisoning",Number,3940
Recorded Crime Offences Under Reservation,2003,Other assault,Number,8484
Recorded Crime Offences Under Reservation,2003,Dangerous or negligent acts,Number,11961
Recorded Crime Offences Under Reservation,2003,Dangerous driving causing serious bodily harm,Number,20
Recorded Crime Offences Under Reservation,2003,Driving/in charge of a vehicle while over legal alcohol limit,Number,11480
Recorded Crime Offences Under Reservation,2003,Driving/in charge of a vehicle under the influence of drugs,Number,77
Recorded Crime Offences Under Reservation,2003,Endangerment with potential for serious harm/death,Number,51
Recorded Crime Offences Under Reservation,2003,"Abandoning a child, child neglect and cruelty",Number,178
Recorded Crime Offences Under Reservation,2003,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003,False alarm/interference with aircraft or air transport facilities,Number,12
Recorded Crime Offences Under Reservation,2003,Endangering traffic offences,Number,143
Recorded Crime Offences Under Reservation,2003,Kidnapping and related offences,Number,97
Recorded Crime Offences Under Reservation,2003,False imprisonment,Number,73
Recorded Crime Offences Under Reservation,2003,Abduction of person under 16 years of age,Number,24
Recorded Crime Offences Under Reservation,2003,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003,"Robbery, extortion and hijacking offences",Number,2911
Recorded Crime Offences Under Reservation,2003,Robbery of an establishment or institution,Number,1030
Recorded Crime Offences Under Reservation,2003,Robbery of cash or goods in transit,Number,53
Recorded Crime Offences Under Reservation,2003,Robbery from the person,Number,1716
Recorded Crime Offences Under Reservation,2003,Blackmail or extortion,Number,21
Recorded Crime Offences Under Reservation,2003,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,91
Recorded Crime Offences Under Reservation,2003,Burglary and related offences,Number,25754
Recorded Crime Offences Under Reservation,2003,Aggravated burglary,Number,327
Recorded Crime Offences Under Reservation,2003,Burglary (not aggravated),Number,25206
Recorded Crime Offences Under Reservation,2003,"Possession of an article (with intent to burgle, steal, demand)",Number,221
Recorded Crime Offences Under Reservation,2003,Theft and related offences,Number,73417
Recorded Crime Offences Under Reservation,2003,Theft/taking of vehicle and related offences,Number,13148
Recorded Crime Offences Under Reservation,2003,Theft from person,Number,6660
Recorded Crime Offences Under Reservation,2003,Theft from shop,Number,15691
Recorded Crime Offences Under Reservation,2003,"Other thefts, handling stolen property",Number,37918
Recorded Crime Offences Under Reservation,2003,"Fraud, deception and related offences",Number,3637
Recorded Crime Offences Under Reservation,2003,Controlled drug offences,Number,9296
Recorded Crime Offences Under Reservation,2003,Importation of drugs,Number,36
