"Statistic","Year","County","School Programme","UNIT","VALUE"
"Pupils in National Schools","1995","All Counties","All first level school programmes","Number","491256"
"Pupils in National Schools","1995","All Counties","All mainstream national school programmes","Number","479126"
"Pupils in National Schools","1995","All Counties","Pupils with special needs in mainstream national schools","Number","4313"
"Pupils in National Schools","1995","All Counties","Pupils in special national schools","Number","7817"
"Pupils in National Schools","1995","Carlow","All first level school programmes","Number","6345"
"Pupils in National Schools","1995","Carlow","All mainstream national school programmes","Number","6203"
"Pupils in National Schools","1995","Carlow","Pupils with special needs in mainstream national schools","Number","24"
"Pupils in National Schools","1995","Carlow","Pupils in special national schools","Number","118"
"Pupils in National Schools","1995","Dublin City","All first level school programmes","Number","51737"
"Pupils in National Schools","1995","Dublin City","All mainstream national school programmes","Number","48571"
"Pupils in National Schools","1995","Dublin City","Pupils with special needs in mainstream national schools","Number","733"
"Pupils in National Schools","1995","Dublin City","Pupils in special national schools","Number","2433"
"Pupils in National Schools","1995","South Dublin","All first level school programmes","Number","32856"
"Pupils in National Schools","1995","South Dublin","All mainstream national school programmes","Number","31830"
"Pupils in National Schools","1995","South Dublin","Pupils with special needs in mainstream national schools","Number","613"
"Pupils in National Schools","1995","South Dublin","Pupils in special national schools","Number","413"
"Pupils in National Schools","1995","Fingal","All first level school programmes","Number","24421"
"Pupils in National Schools","1995","Fingal","All mainstream national school programmes","Number","24033"
"Pupils in National Schools","1995","Fingal","Pupils with special needs in mainstream national schools","Number","247"
"Pupils in National Schools","1995","Fingal","Pupils in special national schools","Number","141"
"Pupils in National Schools","1995","Dún Laoghaire-Rathdown","All first level school programmes","Number","17643"
"Pupils in National Schools","1995","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","17221"
"Pupils in National Schools","1995","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","92"
"Pupils in National Schools","1995","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","330"
"Pupils in National Schools","1995","Kildare","All first level school programmes","Number","19755"
"Pupils in National Schools","1995","Kildare","All mainstream national school programmes","Number","19407"
"Pupils in National Schools","1995","Kildare","Pupils with special needs in mainstream national schools","Number","122"
"Pupils in National Schools","1995","Kildare","Pupils in special national schools","Number","226"
"Pupils in National Schools","1995","Kilkenny","All first level school programmes","Number","10544"
"Pupils in National Schools","1995","Kilkenny","All mainstream national school programmes","Number","10343"
"Pupils in National Schools","1995","Kilkenny","Pupils with special needs in mainstream national schools","Number","19"
"Pupils in National Schools","1995","Kilkenny","Pupils in special national schools","Number","182"
"Pupils in National Schools","1995","Laois","All first level school programmes","Number","7584"
"Pupils in National Schools","1995","Laois","All mainstream national school programmes","Number","7417"
"Pupils in National Schools","1995","Laois","Pupils with special needs in mainstream national schools","Number","44"
"Pupils in National Schools","1995","Laois","Pupils in special national schools","Number","123"
"Pupils in National Schools","1995","Longford","All first level school programmes","Number","4469"
"Pupils in National Schools","1995","Longford","All mainstream national school programmes","Number","4363"
"Pupils in National Schools","1995","Longford","Pupils with special needs in mainstream national schools","Number","80"
"Pupils in National Schools","1995","Longford","Pupils in special national schools","Number","26"
"Pupils in National Schools","1995","Louth","All first level school programmes","Number","13718"
"Pupils in National Schools","1995","Louth","All mainstream national school programmes","Number","13406"
"Pupils in National Schools","1995","Louth","Pupils with special needs in mainstream national schools","Number","66"
"Pupils in National Schools","1995","Louth","Pupils in special national schools","Number","246"
"Pupils in National Schools","1995","Meath","All first level school programmes","Number","16395"
"Pupils in National Schools","1995","Meath","All mainstream national school programmes","Number","16105"
"Pupils in National Schools","1995","Meath","Pupils with special needs in mainstream national schools","Number","119"
"Pupils in National Schools","1995","Meath","Pupils in special national schools","Number","171"
"Pupils in National Schools","1995","Offaly","All first level school programmes","Number","9083"
"Pupils in National Schools","1995","Offaly","All mainstream national school programmes","Number","8938"
"Pupils in National Schools","1995","Offaly","Pupils with special needs in mainstream national schools","Number","145"
"Pupils in National Schools","1995","Offaly","Pupils in special national schools","Number",""
"Pupils in National Schools","1995","Westmeath","All first level school programmes","Number","9398"
"Pupils in National Schools","1995","Westmeath","All mainstream national school programmes","Number","9152"
"Pupils in National Schools","1995","Westmeath","Pupils with special needs in mainstream national schools","Number","102"
"Pupils in National Schools","1995","Westmeath","Pupils in special national schools","Number","144"
"Pupils in National Schools","1995","Wexford","All first level school programmes","Number","15354"
"Pupils in National Schools","1995","Wexford","All mainstream national school programmes","Number","14994"
"Pupils in National Schools","1995","Wexford","Pupils with special needs in mainstream national schools","Number","151"
"Pupils in National Schools","1995","Wexford","Pupils in special national schools","Number","209"
"Pupils in National Schools","1995","Wicklow","All first level school programmes","Number","14458"
"Pupils in National Schools","1995","Wicklow","All mainstream national school programmes","Number","14076"
"Pupils in National Schools","1995","Wicklow","Pupils with special needs in mainstream national schools","Number","110"
"Pupils in National Schools","1995","Wicklow","Pupils in special national schools","Number","272"
"Pupils in National Schools","1995","Clare","All first level school programmes","Number","12689"
"Pupils in National Schools","1995","Clare","All mainstream national school programmes","Number","12420"
"Pupils in National Schools","1995","Clare","Pupils with special needs in mainstream national schools","Number","119"
"Pupils in National Schools","1995","Clare","Pupils in special national schools","Number","150"
"Pupils in National Schools","1995","Cork City","All first level school programmes","Number","17578"
"Pupils in National Schools","1995","Cork City","All mainstream national school programmes","Number","17003"
"Pupils in National Schools","1995","Cork City","Pupils with special needs in mainstream national schools","Number","139"
"Pupils in National Schools","1995","Cork City","Pupils in special national schools","Number","436"
"Pupils in National Schools","1995","Cork County","All first level school programmes","Number","38529"
"Pupils in National Schools","1995","Cork County","All mainstream national school programmes","Number","38107"
"Pupils in National Schools","1995","Cork County","Pupils with special needs in mainstream national schools","Number","116"
"Pupils in National Schools","1995","Cork County","Pupils in special national schools","Number","306"
"Pupils in National Schools","1995","Kerry","All first level school programmes","Number","16814"
"Pupils in National Schools","1995","Kerry","All mainstream national school programmes","Number","16312"
"Pupils in National Schools","1995","Kerry","Pupils with special needs in mainstream national schools","Number","240"
"Pupils in National Schools","1995","Kerry","Pupils in special national schools","Number","262"
"Pupils in National Schools","1995","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","1995","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","1995","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1995","Limerick","Pupils in special national schools","Number",""
"Pupils in National Schools","1995","Limerick City","All first level school programmes","Number","7951"
"Pupils in National Schools","1995","Limerick City","All mainstream national school programmes","Number","7609"
"Pupils in National Schools","1995","Limerick City","Pupils with special needs in mainstream national schools","Number","70"
"Pupils in National Schools","1995","Limerick City","Pupils in special national schools","Number","272"
"Pupils in National Schools","1995","Limerick County","All first level school programmes","Number","15459"
"Pupils in National Schools","1995","Limerick County","All mainstream national school programmes","Number","15217"
"Pupils in National Schools","1995","Limerick County","Pupils with special needs in mainstream national schools","Number","106"
"Pupils in National Schools","1995","Limerick County","Pupils in special national schools","Number","136"
"Pupils in National Schools","1995","Tipperary","All first level school programmes","Number","19129"
"Pupils in National Schools","1995","Tipperary","All mainstream national school programmes","Number","18672"
"Pupils in National Schools","1995","Tipperary","Pupils with special needs in mainstream national schools","Number","173"
"Pupils in National Schools","1995","Tipperary","Pupils in special national schools","Number","284"
"Pupils in National Schools","1995","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","1995","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","1995","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1995","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","1995","Waterford City","All first level school programmes","Number","6016"
"Pupils in National Schools","1995","Waterford City","All mainstream national school programmes","Number","5751"
