"Statistic","CensusYear","Province County or City","UNIT","VALUE"
"Housing Stock - 2011","2016","State","Number","2003914"
"Housing Stock - 2011","2016","Leinster","Number","1035305"
"Housing Stock - 2011","2016","Carlow","Number","23282"
"Housing Stock - 2011","2016","Dublin","Number","529359"
"Housing Stock - 2011","2016","Dublin City","Number","242570"
"Housing Stock - 2011","2016","Dún Laoghaire-Rathdown","Number","86064"
"Housing Stock - 2011","2016","Fingal","Number","103153"
"Housing Stock - 2011","2016","South Dublin","Number","97572"
"Housing Stock - 2011","2016","Kildare","Number","79174"
"Housing Stock - 2011","2016","Kilkenny","Number","39256"
"Housing Stock - 2011","2016","Laois","Number","32805"
"Housing Stock - 2011","2016","Longford","Number","18886"
"Housing Stock - 2011","2016","Louth","Number","51342"
"Housing Stock - 2011","2016","Meath","Number","70075"
"Housing Stock - 2011","2016","Offaly","Number","31004"
"Housing Stock - 2011","2016","Westmeath","Number","36849"
"Housing Stock - 2011","2016","Wexford","Number","68569"
"Housing Stock - 2011","2016","Wicklow","Number","54704"
"Housing Stock - 2011","2016","Munster","Number","564114"
"Housing Stock - 2011","2016","Clare","Number","55876"
"Housing Stock - 2011","2016","Cork","Number","228609"
"Housing Stock - 2011","2016","Cork City","Number","55845"
"Housing Stock - 2011","2016","Cork County","Number","172764"
"Housing Stock - 2011","2016","Kerry","Number","75197"
"Housing Stock - 2011","2016","Limerick","Number","82553"
"Housing Stock - 2011","2016","Limerick City","Number","26808"
"Housing Stock - 2011","2016","Limerick County","Number","55745"
"Housing Stock - 2011","2016","North Tipperary","Number","30941"
"Housing Stock - 2011","2016","South Tipperary","Number","38390"
"Housing Stock - 2011","2016","Waterford","Number","52548"
"Housing Stock - 2011","2016","Waterford City","Number","22394"
"Housing Stock - 2011","2016","Waterford County","Number","30154"
"Housing Stock - 2011","2016","Connacht","Number","261084"
"Housing Stock - 2011","2016","Galway","Number","111859"
"Housing Stock - 2011","2016","Galway City","Number","33816"
"Housing Stock - 2011","2016","Galway County","Number","78043"
"Housing Stock - 2011","2016","Leitrim","Number","18239"
"Housing Stock - 2011","2016","Mayo","Number","66063"
"Housing Stock - 2011","2016","Roscommon","Number","31707"
"Housing Stock - 2011","2016","Sligo","Number","33216"
"Housing Stock - 2011","2016","Ulster (part of)","Number","143411"
"Housing Stock - 2011","2016","Cavan","Number","33862"
"Housing Stock - 2011","2016","Donegal","Number","84351"
"Housing Stock - 2011","2016","Monaghan","Number","25198"
"Vacant holiday homes 2011","2016","State","Number","59395"
"Vacant holiday homes 2011","2016","Leinster","Number","11555"
"Vacant holiday homes 2011","2016","Carlow","Number","283"
"Vacant holiday homes 2011","2016","Dublin","Number","777"
"Vacant holiday homes 2011","2016","Dublin City","Number","322"
"Vacant holiday homes 2011","2016","Dún Laoghaire-Rathdown","Number","120"
"Vacant holiday homes 2011","2016","Fingal","Number","311"
"Vacant holiday homes 2011","2016","South Dublin","Number","24"
"Vacant holiday homes 2011","2016","Kildare","Number","188"
"Vacant holiday homes 2011","2016","Kilkenny","Number","401"
"Vacant holiday homes 2011","2016","Laois","Number","149"
"Vacant holiday homes 2011","2016","Longford","Number","317"
"Vacant holiday homes 2011","2016","Louth","Number","619"
"Vacant holiday homes 2011","2016","Meath","Number","297"
"Vacant holiday homes 2011","2016","Offaly","Number","218"
"Vacant holiday homes 2011","2016","Westmeath","Number","300"
"Vacant holiday homes 2011","2016","Wexford","Number","6915"
"Vacant holiday homes 2011","2016","Wicklow","Number","1091"
"Vacant holiday homes 2011","2016","Munster","Number","23807"
"Vacant holiday homes 2011","2016","Clare","Number","4610"
"Vacant holiday homes 2011","2016","Cork","Number","7342"
"Vacant holiday homes 2011","2016","Cork City","Number","60"
"Vacant holiday homes 2011","2016","Cork County","Number","7282"
"Vacant holiday homes 2011","2016","Kerry","Number","8202"
"Vacant holiday homes 2011","2016","Limerick","Number","453"
