"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Number","1132"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Market","Number","748"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Non-Market","Number","384"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","All Sale Types","Number","1111"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","731"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","380"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","457"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","385"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","72"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","414"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","230"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","184"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","240"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","116"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","124"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","21"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","17"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","4"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","1012"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","659"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","353"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","1004"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","653"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","351"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","394"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","332"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","62"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","382"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","210"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","172"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","228"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","111"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","117"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","8"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","6"
"Volume of Sales","2010","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","2"
"Volume of Sales","2010","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","278"
"Volume of Sales","2010","Limerick","New","Filings","All Buyer Types","Market","Number","248"
"Volume of Sales","2010","Limerick","New","Filings","All Buyer Types","Non-Market","Number","30"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","264"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - All","Market","Number","234"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - All","Non-Market","Number","30"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","129"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","120"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","9"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","74"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Market","Number","65"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","9"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","61"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Non-Occupier","Market","Number","49"
"Volume of Sales","2010","Limerick","New","Filings","Household Buyer - Non-Occupier","Non-Market","Number","12"
"Volume of Sales","2010","Limerick","New","Filings","Non-Household Buyer","All Sale Types","Number","14"
"Volume of Sales","2010","Limerick","New","Filings","Non-Household Buyer","Market","Number","14"
"Volume of Sales","2010","Limerick","New","Filings","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2010","Limerick","New","Executions","All Buyer Types","All Sale Types","Number","191"
"Volume of Sales","2010","Limerick","New","Executions","All Buyer Types","Market","Number","176"
"Volume of Sales","2010","Limerick","New","Executions","All Buyer Types","Non-Market","Number","15"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","188"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - All","Market","Number","173"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - All","Non-Market","Number","15"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","98"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","92"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","6"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","47"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Market","Number","42"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","5"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","43"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Non-Occupier","Market","Number","39"
"Volume of Sales","2010","Limerick","New","Executions","Household Buyer - Non-Occupier","Non-Market","Number","4"
"Volume of Sales","2010","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2010","Limerick","New","Executions","Non-Household Buyer","Market","Number","3"
"Volume of Sales","2010","Limerick","New","Executions","Non-Household Buyer","Non-Market","Number","0"
"Volume of Sales","2010","Limerick","Existing","Filings","All Buyer Types","All Sale Types","Number","854"
"Volume of Sales","2010","Limerick","Existing","Filings","All Buyer Types","Market","Number","500"
"Volume of Sales","2010","Limerick","Existing","Filings","All Buyer Types","Non-Market","Number","354"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","847"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - All","Market","Number","497"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - All","Non-Market","Number","350"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","328"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","265"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","63"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","340"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Market","Number","165"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","175"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","179"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Market","Number","67"
"Volume of Sales","2010","Limerick","Existing","Filings","Household Buyer - Non-Occupier","Non-Market","Number","112"
"Volume of Sales","2010","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","7"
"Volume of Sales","2010","Limerick","Existing","Filings","Non-Household Buyer","Market","Number","3"
"Volume of Sales","2010","Limerick","Existing","Filings","Non-Household Buyer","Non-Market","Number","4"
"Volume of Sales","2010","Limerick","Existing","Executions","All Buyer Types","All Sale Types","Number","821"
"Volume of Sales","2010","Limerick","Existing","Executions","All Buyer Types","Market","Number","483"
"Volume of Sales","2010","Limerick","Existing","Executions","All Buyer Types","Non-Market","Number","338"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","816"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - All","Market","Number","480"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - All","Non-Market","Number","336"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","296"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","240"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","56"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","335"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Market","Number","168"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","167"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","185"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Market","Number","72"
"Volume of Sales","2010","Limerick","Existing","Executions","Household Buyer - Non-Occupier","Non-Market","Number","113"
"Volume of Sales","2010","Limerick","Existing","Executions","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2010","Limerick","Existing","Executions","Non-Household Buyer","Market","Number","3"
"Volume of Sales","2010","Limerick","Existing","Executions","Non-Household Buyer","Non-Market","Number","2"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Number","1116"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Market","Number","717"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","All Buyer Types","Non-Market","Number","399"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","All Sale Types","Number","1080"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Market","Number","694"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - All","Non-Market","Number","386"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","267"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","226"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","41"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","520"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Market","Number","292"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Former Owner-Occupier","Non-Market","Number","228"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","293"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Market","Number","176"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Household Buyer - Non-Occupier","Non-Market","Number","117"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","All Sale Types","Number","36"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Market","Number","23"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Filings","Non-Household Buyer","Non-Market","Number","13"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","All Sale Types","Number","960"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Market","Number","630"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","All Buyer Types","Non-Market","Number","330"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","All Sale Types","Number","936"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Market","Number","610"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - All","Non-Market","Number","326"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","219"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Market","Number","185"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Non-Market","Number","34"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","477"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Market","Number","274"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Former Owner-Occupier","Non-Market","Number","203"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","240"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Market","Number","151"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Household Buyer - Non-Occupier","Non-Market","Number","89"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Market","Number","20"
"Volume of Sales","2011","Limerick","All Dwelling Statuses","Executions","Non-Household Buyer","Non-Market","Number","4"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","All Sale Types","Number","188"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","Market","Number","166"
"Volume of Sales","2011","Limerick","New","Filings","All Buyer Types","Non-Market","Number","22"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","176"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","Market","Number","159"
