"Statistic","Year","Electoral Division","UNIT","VALUE"
"Household median gross income","2016","001  Carlow Urban, Co. Carlow","Euro","28511"
"Household median gross income","2016","002 Graigue Urban, Co. Carlow","Euro","28645"
"Household median gross income","2016","003 Clonmore, Co. Carlow","Euro","52789"
"Household median gross income","2016","004 Hacketstown, Co. Carlow","Euro","35810"
"Household median gross income","2016","005 Haroldstown, Co. Carlow","Euro","42365"
"Household median gross income","2016","006 Kineagh, Co. Carlow","Euro","40869"
"Household median gross income","2016","007 Rahill, Co. Carlow","Euro","46181"
"Household median gross income","2016","008 Rathvilly, Co. Carlow","Euro","33833"
"Household median gross income","2016","009 Tiknock, Co. Carlow","Euro","47937"
"Household median gross income","2016","010 Williamstown, Co. Carlow","Euro","46926"
"Household median gross income","2016","011 Agha, Co. Carlow","Euro","51626"
"Household median gross income","2016","012 Ballinacarrig (Part Urban), Co. Carlow","Euro","54663"
"Household median gross income","2016","013 Ballintemple, Co. Carlow","Euro","48895"
"Household median gross income","2016","014 Ballon, Co. Carlow","Euro","44172"
"Household median gross income","2016","015 Ballyellin, Co. Carlow","Euro","43107"
"Household median gross income","2016","016 Ballymoon, Co. Carlow","Euro","53659"
"Household median gross income","2016","017 Borris, Co. Carlow","Euro","35540"
"Household median gross income","2016","018 Burton Hall, Co. Carlow","Euro","67335"
"Household median gross income","2016","019 Carlow Rural (Part Urban), Co Carlow","Euro","39774"
"Household median gross income","2016","020 Clogrenan, Co. Carlow","Euro","46253"
"Household median gross income","2016","021 Clonegall, Co. Carlow","Euro","44779"
"Household median gross income","2016","022 Corries, Co. Carlow","Euro","44033"
"Household median gross income","2016","023 Cranemore, Co. Carlow","Euro","39915"
"Household median gross income","2016","024 Fennagh, Co. Carlow","Euro","42981"
"Household median gross income","2016","025 Garryhill, Co. Carlow","Euro","43594"
"Household median gross income","2016","026 Grangeford, Co. Carlow","Euro","43537"
"Household median gross income","2016","027 Johnstown, Co. Carlow","Euro","55718"
"Household median gross income","2016","028 Kellistown, Co. Carlow","Euro","48071"
"Household median gross income","2016","029 Kilbride, Co. Carlow","Euro","50372"
"Household median gross income","2016","030 Killedmond, Co. Carlow","Euro","42754"
"Household median gross income","2016","031 Killerrig, Co. Carlow","Euro","65153"
"Household median gross income","2016","032 Leighlinbridge, Co. Carlow","Euro","41745"
"Household median gross income","2016","033 Muinebeag (Bagenalstown) Rural, Co. Carlow","Euro","49288"
"Household median gross income","2016","034 Muinebeag (Bagenalstown) Urban, Co. Carlow","Euro","33154"
"Household median gross income","2016","035 Myshall, Co. Carlow","Euro","39547"
"Household median gross income","2016","036 Nurney, Co. Carlow","Euro","52226"
"Household median gross income","2016","037 Oldleighlin, Co. Carlow","Euro","49103"
"Household median gross income","2016","038 Rathanna, Co. Carlow","Euro","37172"
"Household median gross income","2016","039 Rathornan, Co. Carlow","Euro","44360"
"Household median gross income","2016","040 Rathrush, Co. Carlow","Euro","51605"
"Household median gross income","2016","041 Ridge, Co. Carlow","Euro","42550"
"Household median gross income","2016","042 Shangarry, Co. Carlow","Euro","53731"
"Household median gross income","2016","043 Sliguff, Co. Carlow","Euro","43219"
"Household median gross income","2016","044 Tankardstown, Co. Carlow","Euro","47970"
"Household median gross income","2016","045 Templepeter, Co. Carlow","Euro","49738"
"Household median gross income","2016","046 Tullowbeg, Co. Carlow","Euro","52697"
"Household median gross income","2016","047 Tullow Rural, Co. Carlow","Euro","48750"
"Household median gross income","2016","048 Tullow Urban, Co. Carlow","Euro","34153"
"Household median gross income","2016","049 Ballymurphy, Co. Carlow","Euro","39222"
"Household median gross income","2016","050 Coonogue, Co. Carlow","Euro","35030"
"Household median gross income","2016","051 Glynn, Co. Carlow","Euro","43215"
"Household median gross income","2016","052 Kyle, Co. Carlow","Euro","44643"
"Household median gross income","2016","053 Marley, Co. Carlow","Euro","42746"
"Household median gross income","2016","054 Tinnahinch, Co. Carlow","Euro","32685"
"Household median gross income","2016","001 Arran Quay A, Dublin City","Euro","40293"
