Statistic,Month,Age Group,Sex,UNIT,VALUE
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Both sexes,%,13.6
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Male,%,14.1
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 24 years,Female,%,12.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M01,15 - 74 years,Female,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Both sexes,%,7.4
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Male,%,6.9
Seasonally Adjusted Monthly Unemployment Rate,1998M01,25 - 74 years,Female,%,8.2
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Both sexes,%,13.4
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Male,%,13.9
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 24 years,Female,%,12.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Both sexes,%,9.1
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Male,%,8.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,15 - 74 years,Female,%,9.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Both sexes,%,7.7
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Male,%,7.2
Seasonally Adjusted Monthly Unemployment Rate,1998M02,25 - 74 years,Female,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Both sexes,%,12.9
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Male,%,13.4
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 24 years,Female,%,12.3
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Both sexes,%,8.9
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Male,%,8.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,15 - 74 years,Female,%,9.5
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Both sexes,%,7.6
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Male,%,7.1
Seasonally Adjusted Monthly Unemployment Rate,1998M03,25 - 74 years,Female,%,8.4
